name,parent,url,summary
Bauhaus-Universität Weimar,,https://www.uni-weimar.de/,
Decolonizing Eyes,Bauhaus-Universität Weimar,,"with <a href=""https://www.margaritavaldivieso.net/"" target=""_blank"">Margarita Valdivieso</a>"
International Center of Photography (ICP),,https://www.icp.org/,
Ideas & Images (2019),International Center of Photography (ICP),,"with <a href=""https://www.icp.org/users/fredritchin"" target=""_blank"">Fred Ritchin</a>"
"Image Strategies for Human Rights (2019, 2020)",International Center of Photography (ICP),,"with <a href=""https://www.icp.org/users/fredritchin"" target=""_blank"">Fred Ritchin</a>"
Magnum Foundation,,magnumfoundation.org,
Photography Expanded Lab,Magnum Foundation,,
Counter Histories (2018),Photography Expanded Lab,https://www.magnumfoundation.org/news/2018/4/25/6xqemm2pgpctyx1eme947pb9gqzaod,"hosted by the <a href=""https://brown.columbia.edu/"" target=""_blank"">Brown Institute</a> at Columbia University"
On Migration Lab (2018),Photography Expanded Lab,https://www.magnumfoundation.org/news/2018/6/11/photography-in-collaboration-migration-and-religion,"hosted by the <a href=""https://brown.columbia.edu/"" target=""_blank"">Brown Institute</a> at Columbia University"
Photography and Social Justice Fellowship (2019),Magnum Foundation,https://www.magnumfoundation.org/news/2019/2/28/announcing-the-2019-photography-and-social-justice-fellow,"with <a href=""https://www.icp.org/users/fredritchin"" target=""_blank"">Fred Ritchin</a>"
Bard High School Early College Manhattan,,https://bhsec.bard.edu/manhattan/,
"Media Literacy (2020, 2021)",Bard High School Early College Manhattan,,"with <a href=""http://www.alexislambrou.com/"" target=""_blank"">Alexis Lambrou</a>"
